"","company_name","total"
"16775","PlayPhone",37879
"16782","PlaySpan",44610
"16867","Pogoseat",85238
"16889","Polatis",46777
"16941","Poptip",46229
"16978","Posterous",86762
"16983","Postmates",65024
"17030","Powervation",45745
"17047","Practice Fusion",155912
"17125","Prestiamoci",51491
"17134","Prevently",43806
"17175","Primeloop",34776
"17198","Prism Skylabs",50772
"17226","Probiodrug",41508
"17243","Producteev",42546
"17300","Pronota",44800
"17304","Proofpoint",50162
"17327","Prosper",56327
"17348","Proteon Therapeutics",34944
"17352","Proterra",48523
"17408","PTC Therapeutics",89847
"17420","PubMatic",58147
"17431","Pulse",45491
"17449","PunchTab",38400
"17451","Puppet Labs",48298
"17461","Pure Storage",45003
"17502","Q Chip",38090
"17524","QD Vision",60330
"17612","Quantenna Communications",69243
"17640","Quench",36246
"17666","Quickoffice",48613
"17671","Quidsi",45885
"17680","Quikr India",66884
"17691","Quirky",52617
"17694","Quixey",57172
"17698","Qumu",53279
"17725","Qwiki",47028
"17779","Radius Health",100263
"17803","Rally.org",97611
"17813","RAMP Holdings",34965
"17858","RaveMobileSafety.com",37625
"17859","Raven Biotechnologies",43776
"17860","Ravenflow",39114
"18024","Redfern Integrated Optics",51920
"18025","Redfin",74501
"18036","Redmere Technology",35584
"18070","Refinery29",36795
"18086","Regado Biosciences",55021
"18097","REGiMMUNE Corporation",105589
"18116","RelateIQ",40190
"18119","Relationship Science",61036
"18145","Relypsa",81617
"18225","Reputation.com",42685
"18263","Responsys",45366
"18307","Retrofit",73309
"18341","ReVision Optics",36210
"18350","Revolution Money",45148
"18371","Rewind Me",59845
"18397","Rhythm Pharmaceuticals",37696
"18402","RichRelevance",60285
"18471","Rivermine Software",36509
"18487","Roadtrippers",38075
"18508","Rock Health",36252
"18516","Rocket Fuel",71322
"18534","Rockmelt",40920
"18548","Roku",50174
"18569","Room 77",36328
"18591","Rostima",41928
"18618","rPath",39400
"18621","RPO",38842
"18629","Rubicon Project",49500
"18636","Ruckus Wireless",59410
"18701","Sadra Medical",42794
"18735","Sailthru",47321
"18743","Salesforce Buddy Media",51416
"18857","SavingStar",72057
"18868","SAY Media",44880
"18869","Sayduck",34537
"18880","Scale Computing",39640
"18890","Scality",38156
"18907","ScanScout",39811
"18972","Scopely",88597
"19006","Scribd",40069
"19012","Scripted",43208
"19033","Seahorse Bioscience",54866
"19045","Searchandise Commerce",54679
"19054","SeatGeek",58945
"19074","Secret",91960
"19123","Seelio",53751
"19135","Seesmic",68418
"19189","Semprius",66256
"19197","SendGrid",70449
"19221","SenSage",45900
"19252","SensorLogic",67834
"19255","SensorTran",41478
"19264","Sentillion",40709
"19301","Serious Energy",58740
"19308","Serveron",43232
"19315","ServiceMax",85647
"19378","Shape Security",44130
"19381","Shapeways",39626
"19383","Share Practice",36742
"19386","Shareaholic",48338
"19396","ShareThis",46051
"19397","Sharethrough",37448
"19432","SHIFT",44268
"19452","Shocking Technologies",37328
"19500","ShopPad",58890
"19541","ShowMe",43368
"19553","Shutl",70025
"19557","Shyp",36850
"19564","Siano Mobile Silicon",34841
"19594","SiGe Semiconductor",58263
"19621","Siimpel Corporation",41327
"19649","SilkRoad Technology",60189
"19652","Siluria Technologies",50499
